,,,,,,,,,,,
,Snivy,,Learnset,,Servine,,Learnset,,Serperior,,Learnset
,Base Stats,,44 - Blizzard,,Base Stats,,44 - Blizzard,,Base Stats,,44 - Blizzard
,HP,56(+20),60 - Sheer Cold,,HP,51,60 - Sheer Cold,,HP,81(+10),60 - Sheer Cold
,Attack,50,65 - Night Daze,,Attack,65,65 - Night Daze,,Attack,45(-50),65 - Night Daze
,Defense,50,,,Defense,65,,,Defense,85,
,Special Attack,65,,,Special Attack,90(+10),,,Special Attack,120(+10),
,Special Defense,60,,,Special Defense,75,,,Special Defense,105(+10),
,Speed,44,,,Speed,79(+20),,,Speed,99(+20),
,,,,,Evolves at level 22.,,,,Evolves at level 47.,,
,,,,,,,,,"Now learns TM19, TM33, TM83",,
,,,,,,,,,,,
,,,,,,,,,,,
,Deerling,,Learnset,,Sawsbuck,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Growl,,,,1 - Growl,,,,
,,,5 - Vine Whip,,,,5 - Vine Whip,,,,
,,,10 - Headbutt,,,,10 - Headbutt,,,,
,,,15 - Razor Leaf,,,,15 - Razor Leaf,,,,
,NORMAL,GRASS,19 - Double Kick,,NORMAL,GRASS,19 - Double Kick,,,,
,Ability 1,Adaptability,23 - Take Down,,Ability 1,Adaptability,23 - Take Down,,,,
,Ability 2,Adaptability,26 - Charm,,Ability 2,Adaptability,26 - Charm,,,,
,Base Stats,,31 - Horn Leech,,Base Stats,,31 - Horn Leech,,,,
,HP,60,35 - Return,,HP,80,35 - Return,,,,
,Attack,80(+20),38 - Crunch,,Attack,110(+10),38 - Crunch,,,,
,Defense,50,42 - Zen Headbutt,,Defense,70,42 - Zen Headbutt,,,,
,Special Attack,40,50 - Seed Bomb,,Special Attack,60,50 - Seed Bomb,,,,
,Special Defense,50,55 - Double-Edge,,Special Defense,70,55 - Double-Edge,,,,
,Speed,75,62 - Wood Hammer,,Speed,105(+10),62 - Wood Hammer,,,,
,,,,,Evolves at level 34.,,,,,,
,,,,,Now learns TM77,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Emolga,,Learnset,,,,,,,,
,,,1 - FeatherDance,,,,,,,,
,,,1 - Peck,,,,,,,,
,,,6 - ThunderShock,,,,,,,,
,,,11 - Gust,,,,,,,,
,,,17 - Spark,,,,,,,,
,ELECTRIC,FLYING,23 - Air Cutter,,,,,,,,
,Ability 1,Motor Drive,28 - Discharge,,,,,,,,
,Ability 2,Motor Drive,32 - Air Slash,,,,,,,,
,Base Stats,,35 - Roost,,,,,,,,
,HP,55,38 - Thunderbolt,,,,,,,,
,Attack,105(+30),38 - Wild Charge,,,,,,,,
,Defense,60,42 - U-Turn,,,,,,,,
,Special Attack,105(+30),46 - Aeroblast,,,,,,,,
,Special Defense,60,50 - Acrobatics,,,,,,,,
,Speed,123(+20),65 - Thunder,,,,,,,,
,,,65 - Hurricane,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Karrablast,,Learnset,,Escavalier,,Learnset,,,,
,,,1 - Fury Cutter,,,,1 - Fury Cutter,,,,
,,,1 - Scary Face,,,,1 - Scary Face,,,,
,,,6 - Slash,,,,6 - Slash,,,,
,,,11 - Bug Bite,,,,11 - Bug Bite,,,,
,,,16 - Endure,,,,16 - Endure,,,,
,BUG,,21 - Wide Guard,,BUG,STEEL,21 - Wide Guard,,,,
,Ability 1,Infiltrator,26 - Quick Guard,,Ability 1,Shell Armor,26 - Quick Guard,,,,
,Ability 2,Infiltrator,31 - Leech Life,,Ability 2,Shell Armor,31 - Leech Life,,,,
,Base Stats,,36 - Drill Run,,Base Stats,,36 - Drill Run,,,,
,HP,50,41 - Knock Off,,HP,75(+5),41 - Knock Off,,,,
,Attack,75,45 - Iron Head,,Attack,135,45 - Iron Head,,,,
,Defense,45,50 - X-Scissor,,Defense,105,50 - X-Scissor,,,,
,Special Attack,40,55 - Razor Shell,,Special Attack,60,55 - Razor Shell,,,,
,Special Defense,45,60 - Close Combat,,Special Defense,105,60 - Close Combat,,,,
,Speed,70(+10),70 - Guillotine,,Speed,20,70 - Guillotine,,,,
,,,,,Evolves at level 50.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Foongus,,Learnset,,Amoonguss,,Learnset,,,,
,,,1 - Absorb,,,,1 - Absorb,,,,
,,,1 - Stun Spore,,,,1 - Stun Spore,,,,
,,,7 - Acid,,,,7 - Acid,,,,
,,,10 - Mega Drain,,,,10 - Mega Drain,,,,
,,,14 - PoisonPowder,,,,14 - PoisonPowder,,,,
,GRASS,POISON,20 - Venoshock,,GRASS,POISON,20 - Venoshock,,,,
,Ability 1,Regenerator,23 - Clear Smog,,Ability 1,Regenerator,23 - Clear Smog,,,,
,Ability 2,Regenerator,27 - Giga Drain,,Ability 2,Regenerator,27 - Giga Drain,,,,
,Base Stats,,30 - Acid Spray,,Base Stats,,30 - Acid Spray,,,,
,HP,69,33 - Sludge Bomb,,HP,114,33 - Sludge Bomb,,,,
,Attack,35(-20),37 - Synthesis,,Attack,55(-30),37 - Synthesis,,,,
,Defense,65(+20),42 - Energy Ball,,Defense,80(+10),42 - Energy Ball,,,,
,Special Attack,65(+10),45 - Toxic,,Special Attack,95(+10),45 - Toxic,,,,
,Special Defense,75(+20),50 - Spore,,Special Defense,90(+10),50 - Spore,,,,
,Speed,15,55 - Rage Powder,,Speed,30,55 - Rage Powder,,,,
,,,60 - Sludge Wave,,Evolves at level 39.,,60 - Sludge Wave,,,,
,,,,,"Now learns TM19, TM77",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Frillish,,Learnset,,Jellicent,,Learnset,,,,
,,,1 - Night Shade,,,,1 - Night Shade,,,,
,,,1 - Water Gun,,,,1 - Water Gun,,,,
,,,6 - Mega Drain,,,,6 - Mega Drain,,,,
,,,9 - Icy Wind,,,,9 - Icy Wind,,,,
,,,12 - Brine,,,,12 - Brine,,,,
,WATER,GHOST,17 - Hex,,WATER,GHOST,17 - Hex,,,,
,Ability 1,Water Absorb,23 - Recover,,Ability 1,Water Absorb,23 - Recover,,,,
,Ability 2,Damp,28 - Will-O-Wisp,,Ability 2,Damp,28 - Will-O-Wisp,,,,
,Base Stats,,31 - Giga Drain,,Base Stats,,31 - Giga Drain,,,,
,HP,55,35 - Scald,,HP,100,35 - Scald,,,,
,Attack,40,40 - Shadow Ball,,Attack,60,40 - Shadow Ball,,,,
,Defense,50,60 - Water Spout,,Defense,80(+10),60 - Water Spout,,,,
,Special Attack,75(+10),,,Special Attack,95(+10),,,,,
,Special Defense,95(+10),,,Special Defense,115(+10),,,,,
,Speed,40,,,Speed,60,,,,,
,,,,,Evolves at level 40.,,,,,,
,,,,,"Now learns TM21, TM33",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Alomomola,,Learnset,,,,,,,,
,,,1 - Water Gun,,,,,,,,
,,,8 - Helping Hand,,,,,,,,
,,,11 - Icy Wind,,,,,,,,
,,,15 - Wide Guard,,,,,,,,
,,,20 - BubbleBeam,,,,,,,,
,WATER,,25 - Charm,,,,,,,,
,Ability 1,Regenerator,30 - Soak,,,,,,,,
,Ability 2,Regenerator,35 - Scald,,,,,,,,
,Base Stats,,40 - Wish,,,,,,,,
,HP,160,44 - Heart Swap,,,,,,,,
,Attack,40(-35),48 - Hydro Pump,,,,,,,,
,Defense,90(+10),52 - Protect,,,,,,,,
,Special Attack,95(+45),57 - Hydro Cannon,,,,,,,,
,Special Defense,45,62 - Pain Split,,,,,,,,
,Speed,65,,,,,,,,,
,Now learns TM33,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Joltik,,Learnset,,Galvantula,,Learnset,,,,
,,,1 - Fury Cutter,,,,1 - Fury Cutter,,,,
,,,1 - String Shot,,,,1 - String Shot,,,,
,,,5 - Mega Drain,,,,5 - Mega Drain,,,,
,,,10 - ThunderShock,,,,10 - ThunderShock,,,,
,,,14 - Gastro Acid,,,,14 - Gastro Acid,,,,
,BUG,ELECTRIC,18 - Thunder Wave,,BUG,ELECTRIC,18 - Thunder Wave,,,,
,Ability 1,Compoundeyes,22 - Electro Ball,,Ability 1,Compoundeyes,22 - Electro Ball,,,,
,Ability 2,Unnerve,26 - Electroweb,,Ability 2,Unnerve,26 - Electroweb,,,,
,Base Stats,,30 - Signal Beam,,Base Stats,,30 - Signal Beam,,,,
,HP,50,33 - Discharge,,HP,70,33 - Discharge,,,,
,Attack,47,36 - Bug Buzz,,Attack,77,36 - Bug Buzz,,,,
,Defense,50,42 - Thunderbolt,,Defense,70(+10),42 - Thunderbolt,,,,
,Special Attack,87(+30),55 - Thunder,,Special Attack,112(+15),55 - Thunder,,,,
,Special Defense,50,60 - U-Turn,,Special Defense,70(+10),60 - U-Turn,,,,
,Speed,95(+30),,,Speed,128(+20),,,,,
,,,,,Evolves at level 36.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Ferroseed,,Learnset,,Ferrothorn,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Ingrain,,,,1 - Ingrain,,,,
,,,5 - Vine Whip,,,,5 - Vine Whip,,,,
,,,10 - Metal Claw,,,,10 - Metal Claw,,,,
,,,15 - Razor Leaf,,,,15 - Razor Leaf,,,,
,GRASS,STEEL,20 - Knock Off,,GRASS,STEEL,20 - Knock Off,,,,
,Ability 1,Iron Barbs,25 - Explosion,,Ability 1,Iron Barbs,25 - Explosion,,,,
,Ability 2,Iron Barbs,30 - Gyro Ball,,Ability 2,Iron Barbs,30 - Gyro Ball,,,,
,Base Stats,,35 - Seed Bomb,,Base Stats,,35 - Seed Bomb,,,,
,HP,64(+20),40 - Iron Head,,HP,84(+10),40 - Iron Head,,,,
,Attack,70(+20),45 - Leech Seed,,Attack,104(+10),45 - Leech Seed,,,,
,Defense,91,50 - Spikes,,Defense,131,50 - Spikes,,,,
,Special Attack,24,60 - Power Whip,,Special Attack,54,60 - Power Whip,,,,
,Special Defense,86,65 - Guillotine,,Special Defense,116,65 - Guillotine,,,,
,Speed,10,,,Speed,24,,,,,
,,,,,Evolves at level 50.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Klink,,Learnset,,Klang,,Learnset,,Klinklang,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle
,,,1 - Metal Sound,,,,1 - Metal Sound,,,,1 - Metal Sound
,,,6 - ThunderShock,,,,6 - ThunderShock,,,,6 - ThunderShock
,,,11 - Mirror Shot,,,,11 - Mirror Shot,,,,11 - Mirror Shot
,,,16 - SonicBoom,,,,16 - SonicBoom,,,,16 - SonicBoom
,STEEL,,21 - Gyro Ball,,STEEL,,21 - Gyro Ball,,STEEL,,21 - Gyro Ball
,Ability 1,Levitate,26 - Spark,,Ability 1,Levitate,26 - Spark,,Ability 1,Levitate,26 - Spark
,Ability 2,Levitate,30 - Wild Charge,,Ability 2,Levitate,30 - Wild Charge,,Ability 2,Levitate,30 - Wild Charge
,Base Stats,,35 - Iron Head,,Base Stats,,35 - Iron Head,,Base Stats,,35 - Iron Head
,HP,40,44 - Payback,,HP,70(+10),44 - Payback,,HP,70(+10),44 - Payback
,Attack,55,49 - Gear Grind,,Attack,80,49 - Gear Grind,,Attack,105(+5),49 - Gear Grind
,Defense,70,55 - Volt Switch,,Defense,95,55 - Volt Switch,,Defense,115,55 - Volt Switch
,Special Attack,45,60 - Earthquake,,Special Attack,50(-20),60 - Earthquake,,Special Attack,70,60 - Earthquake
,Special Defense,60,,,Special Defense,85,,,Special Defense,85,
,Speed,30,,,Speed,50,,,Speed,90,
,,,,,Evolves at level 27.,,,,Evolves at level 49.,,
,,,,,,,,,"Now learns TM26, TM66",,
,,,,,,,,,,,
,,,,,,,,,,,
,Tynamo,,Learnset,,Eelektrik,,Learnset,,Eelektross,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle
,,,1 - Acid,,,,1 - Acid,,,,1 - Acid
,,,6 - ThunderShock,,,,6 - ThunderShock,,,,6 - ThunderShock
,,,11 - Acid Spray,,,,11 - Acid Spray,,,,11 - Acid Spray
,,,16 - Mega Drain,,,,16 - Mega Drain,,,,16 - Spark
,ELECTRIC,,21 - Sludge,,ELECTRIC,POISON,21 - Sludge,,ELECTRIC,POISON,21 - Sludge
,Ability 1,Levitate,25 - Spark,,Ability 1,Levitate,25 - Spark,,Ability 1,Levitate,25 - Crunch
,Ability 2,Levitate,30 - Poison Jab,,Ability 2,Levitate,30 - Poison Jab,,Ability 2,Levitate,30 - Poison Jab
,Base Stats,,30 - Sludge Bomb,,Base Stats,,30 - Sludge Bomb,,Base Stats,,30 - Sludge Bomb
,HP,35,35 - Wild Charge,,HP,75(+10),35 - Wild Charge,,HP,95(+10),35 - Wild Charge
,Attack,55,35 - Thunderbolt,,Attack,85,35 - Thunderbolt,,Attack,115,35 - Thunderbolt
,Defense,40,40 - Giga Drain,,Defense,80(+10),40 - Giga Drain,,Defense,90(+10),40 - Giga Drain
,Special Attack,45,44 - Flamethrower,,Special Attack,75,44 - Flamethrower,,Special Attack,105,44 - Flamethrower
,Special Defense,40,48 - Muddy Water,,Special Defense,80(+10),48 - Muddy Water,,Special Defense,90(+10),48 - Muddy Water
,Speed,60,50 - Volt Switch,,Speed,40,50 - Volt Switch,,Speed,50,50 - Volt Switch
,,,60 - Gunk Shot,,Evolves at level 25.,,60 - Gunk Shot,,Evolves at level 44.,,60 - Gunk Shot
,,,60 - Sludge Wave,,,,60 - Sludge Wave,,"Now learns TM34, TM36, TM84",,60 - Sludge Wave
,,,,,,,,,,,
,,,,,,,,,,,
,Elgyem,,Learnset,,Beeheyem,,Learnset,,,,
,,,1 - Confusion,,,,1 - Confusion,,,,
,,,6 - ThunderShock,,,,6 - ThunderShock,,,,
,,,11 - Imprison,,,,11 - Imprison,,,,
,,,16 - Electro Ball,,,,16 - Electro Ball,,,,
,,,21 - Psybeam,,,,21 - Psybeam,,,,
,PSYCHIC,ELECTRIC,25 - Gravity,,PSYCHIC,ELECTRIC,25 - Gravity,,,,
,Ability 1,Levitate,30 - Discharge,,Ability 1,Levitate,30 - Discharge,,,,
,Ability 2,Levitate,34 - Psyshock,,Ability 2,Levitate,34 - Psyshock,,,,
,Base Stats,,38 - Psychic,,Base Stats,,38 - Psychic,,,,
,HP,75(+20),42 - Thunderbolt,,HP,90(+15),42 - Thunderbolt,,,,
,Attack,55,47 - Aura Sphere,,Attack,55(-20),47 - Aura Sphere,,,,
,Defense,75(+20),50 - Future Sight,,Defense,95(+20),50 - Future Sight,,,,
,Special Attack,105(+20),60 - Psycho Boost,,Special Attack,135(+10),60 - Psycho Boost,,,,
,Special Defense,75(+20),70 - Trick Room,,Special Defense,115(+20),70 - Trick Room,,,,
,Speed,30,,,Speed,40,,,,,
,,,,,Evolves at level 42.,,,,,,
,,,,,"Now learns TM16, TM21, TM72, TM83",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Litwick,,Learnset,,Lampent,,Learnset,,Chandelure,,Learnset
,,,1 - Ember,,,,1 - Ember,,,,1 - Ember
,,,5 - Fire Spin,,,,5 - Fire Spin,,,,5 - Fire Spin
,,,9 - Night Shade,,,,9 - Night Shade,,,,9 - Night Shade
,,,13 - Smog,,,,13 - Smog,,,,13 - Smog
,,,17 - Hex,,,,17 - Hex,,,,17 - Hex
,GHOST,FIRE,21 - Flame Burst,,GHOST,FIRE,21 - Flame Burst,,GHOST,FIRE,21 - Flame Burst
,Ability 1,Flash Fire,27 - Will-O-Wisp,,Ability 1,Flash Fire,27 - Will-O-Wisp,,Ability 1,Flash Fire,27 - Will-O-Wisp
,Ability 2,Flame Body,29 - Imprison,,Ability 2,Levitate,29 - Imprison,,Ability 2,Levitate,29 - Imprison
,Base Stats,,33 - Pain Split,,Base Stats,,33 - Pain Split,,Base Stats,,33 - Pain Split
,HP,50,38 - Flamethrower,,HP,70(+10),38 - Flamethrower,,HP,80(+20),38 - Flamethrower
,Attack,30,42 - Shadow Ball,,Attack,40,42 - Shadow Ball,,Attack,55,42 - Shadow Ball
,Defense,55,50 - Heat Wave,,Defense,70(+10),50 - Heat Wave,,Defense,90,50 - Heat Wave
,Special Attack,65,65 - Overheat,,Special Attack,105(+10),65 - Overheat,,Special Attack,145,65 - Overheat
,Special Defense,55,,,Special Defense,70(+10),,,Special Defense,90,
,Speed,20,,,Speed,65(+10),,,Speed,90(+10),
,,,,,Evolves at level 27.,,,,Evolves at level 55.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Axew,,Learnset,,Fraxure,,Learnset,,Haxorus,,Learnset
,,,1 - Bite,,,,1 - Bite,,,,1 - Bite
,,,5 - Dragon Rage,,,,5 - Dragon Rage,,,,5 - Dragon Rage
,,,9 - Taunt,,,,9 - Taunt,,,,9 - Taunt
,,,16 - Dragon Tail,,,,16 - Dragon Tail,,,,16 - Dragon Tail
,,,20 - Slash,,,,20 - Slash,,,,20 - Slash
,DRAGON,,23 - Crunch,,DRAGON,STEEL,23 - Crunch,,DRAGON,STEEL,23 - Crunch
,Ability 1,Unnerve,27 - Metal Claw,,Ability 1,Unnerve,27 - Metal Claw,,Ability 1,Unnerve,27 - Metal Claw
,Ability 2,Mold Breaker,33 - Fire Punch,,Ability 2,Mold Breaker,33 - Fire Punch,,Ability 2,Mold Breaker,33 - Fire Punch
,Base Stats,,33 - ThunderPunch,,Base Stats,,33 - ThunderPunch,,Base Stats,,33 - ThunderPunch
,HP,51(+5),40 - Dual Chop,,HP,76(+10),40 - Dual Chop,,HP,96(+20),40 - Dual Chop
,Attack,87,44 - Iron Head,,Attack,117,44 - Iron Head,,Attack,147,44 - Iron Head
,Defense,60,50 - Close Combat,,Defense,70,50 - Close Combat,,Defense,100(+10),50 - Close Combat
,Special Attack,30,55 - Dragon Claw,,Special Attack,40,55 - Dragon Claw,,Special Attack,70(+10),55 - Dragon Claw
,Special Defense,40,60 - Iron Tail,,Special Defense,70(+20),60 - Iron Tail,,Special Defense,90(+20),60 - Iron Tail
,Speed,57,65 - Outrage,,Speed,77(+10),65 - Outrage,,Speed,97,65 - Outrage
,,,75 - Dragon Rush,,Evolves at level 27.,,75 - Dragon Rush,,Evolves at level 65.,,75 - Dragon Rush
,,,,,,,,,,,
,,,,,,,,,,,
,Cubchoo,,Learnset,,Beartic,,Learnset,,,,
,,,1 - Powder Snow,,,,1 - Powder Snow,,,,
,,,1 - Aqua Jet,,,,1 - Aqua Jet,,,,
,,,5 - Endure,,,,5 - Endure,,,,
,,,10 - Charm,,,,10 - Charm,,,,
,,,15 - Ice Shard,,,,15 - Ice Shard,,,,
,ICE,,20 - Avalanche,,ICE,FIGHTING,20 - Avalanche,,,,
,Ability 1,Sheer Force,25 - Rock Smash,,Ability 1,Sheer Force,25 - Rock Smash,,,,
,Ability 2,Swift Swim,30 - Ice Punch,,Ability 2,Swift Swim,30 - Ice Punch,,,,
,Base Stats,,34 - Sky Uppercut,,Base Stats,,34 - Sky Uppercut,,,,
,HP,65(+20),39 - Waterfall,,HP,105(+10),39 - Waterfall,,,,
,Attack,80(+10),44 - Icicle Crash,,Attack,130(+20),44 - Icicle Crash,,,,
,Defense,60(+20),48 - Rock Climb,,Defense,90(+10),48 - Rock Climb,,,,
,Special Attack,40(-20),60 - Close Combat,,Special Attack,70,60 - Close Combat,,,,
,Special Defense,60(+20),65 - Superpower,,Special Defense,80,65 - Superpower,,,,
,Speed,60(+20),,,Speed,80(+30),,,,,
,,,,,Evolves at level 34.,,,,,,
,,,,,Now learns HM05,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Cryogonal,,Learnset,,,,,,,,
,,,1 - Ice Shard,,,,,,,,
,,,1 - Rapid Spin,,,,,,,,
,,,10 - Icy Wind,,,,,,,,
,,,16 - Aurora Beam,,,,,,,,
,,,20 - Mirror Shot,,,,,,,,
,ICE,STEEL,25 - AncientPower,,,,,,,,
,Ability 1,Levitate,32 - Recover,,,,,,,,
,Ability 2,Levitate,38 - Ice Beam,,,,,,,,
,Base Stats,,42 - Flash Cannon,,,,,,,,
,HP,80,60 - Sheer Cold,,,,,,,,
,Attack,50,,,,,,,,,
,Defense,50,,,,,,,,,
,Special Attack,100(+5),,,,,,,,,
,Special Defense,140(+5),,,,,,,,,
,Speed,120(+15),,,,,,,,,
,Now learns TM83,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Shelmet,,Learnset,,Accelgor,,Learnset,,,,
,,,1 - Fury Cutter,,,,1 - Fury Cutter,,,,
,,,1 - Scary Face,,,,1 - Scary Face,,,,
,,,6 - Slash,,,,6 - Slash,,,,
,,,11 - Bug Bite,,,,11 - Bug Bite,,,,
,,,16 - Endure,,,,16 - Endure,,,,
,BUG,,21 - Wide Guard,,BUG,DARK,21 - Wide Guard,,,,
,Ability 1,Shell Armor,26 - Quick Guard,,Ability 1,Adaptability,26 - Quick Guard,,,,
,Ability 2,Shell Armor,31 - Leech Life,,Ability 2,Adaptability,31 - Leech Life,,,,
,Base Stats,,36 - Drill Run,,Base Stats,,36 - Drill Run,,,,
,HP,50,41 - Knock Off,,HP,80,41 - Knock Off,,,,
,Attack,50(+10),45 - Dark Pulse,,Attack,60(-10),45 - Dark Pulse,,,,
,Defense,85,50 - Bug Buzz,,Defense,40,50 - Bug Buzz,,,,
,Special Attack,40,55 - Aura Sphere,,Special Attack,100,55 - Aura Sphere,,,,
,Special Defense,65,60 - Energy Ball,,Special Defense,70(+10),60 - Energy Ball,,,,
,Speed,25,70 - Night Daze,,Speed,150(+5),70 - Night Daze,,,,
,,,,,Evolves at level 50.,,,,,,
,,,,,"Now learns TM21, TM33",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Stunfisk,,Learnset,,,,,,,,
,,,1 - Mud-Slap,,,,,,,,
,,,1 - Sucker Punch,,,,,,,,
,,,6 - ThunderShock,,,,,,,,
,,,11 - Mud Shot,,,,,,,,
,,,16 - BubbleBeam,,,,,,,,
,GROUND,ELECTRIC,21 - Mud Bomb,,,,,,,,
,Ability 1,Water Absorb,26 - Discharge,,,,,,,,
,Ability 2,Water Absorb,31 - Electroweb,,,,,,,,
,Base Stats,,36 - Power Gem,,,,,,,,
,HP,109,40 - Earth Power,,,,,,,,
,Attack,66,44 - Thunderbolt,,,,,,,,
,Defense,94(+10),48 - Muddy Water,,,,,,,,
,Special Attack,91(+10),50 - Volt Switch,,,,,,,,
,Special Defense,109(+10),60 - Zap Cannon,,,,,,,,
,Speed,32,,,,,,,,,
,"Now learns TM16, TM19",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mienfoo,,Learnset,,Mienshao,,Learnset,,,,
,,,1 - Confusion,,,,1 - Confusion,,,,
,,,1 - Detect,,,,1 - Detect,,,,
,,,9 - Vacuum Wave,,,,9 - Vacuum Wave,,,,
,,,16 - Psybeam,,,,16 - Psybeam,,,,
,,,21 - Fake Out,,,,21 - Fake Out,,,,
,FIGHTING,PSYCHIC,26 - Wake-Up Slap,,FIGHTING,PSYCHIC,26 - Wake-Up Slap,,,,
,Ability 1,Inner Focus,30 - Acrobatics,,Ability 1,Inner Focus,30 - Acrobatics,,,,
,Ability 2,Regenerator,35 - Psychic,,Ability 2,Regenerator,35 - Psychic,,,,
,Base Stats,,40 - Aura Sphere,,Base Stats,,40 - Aura Sphere,,,,
,HP,65(+20),50 - U-Turn,,HP,65,50 - U-Turn,,,,
,Attack,55(-30),60 - Hi Jump Kick,,Attack,95(-30),60 - Hi Jump Kick,,,,
,Defense,50,75 - Reversal,,Defense,60,75 - Reversal,,,,
,Special Attack,85(+30),,,Special Attack,125(+30),,,,,
,Special Defense,50,,,Special Defense,80(+20),,,,,
,Speed,85(+20),,,Speed,105,,,,,
,,,,,Evolves at level 35.,,,,,,
,,,,,"Now learns TM03, TM29, TM30",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Druddigon,,Learnset,,,,,,,,
,,,1 - Bite,,,,,,,,
,,,5 - Dragon Rage,,,,,,,,
,,,9 - Metal Claw,,,,,,,,
,,,16 - Dragon Tail,,,,,,,,
,,,20 - Slash,,,,,,,,
,DRAGON,FIGHTING,23 - Crunch,,,,,,,,
,Ability 1,Rough Skin,27 - Revenge,,,,,,,,
,Ability 2,Solid Rock,33 - Fire Punch,,,,,,,,
,Base Stats,,33 - ThunderPunch,,,,,,,,
,HP,97(+20),37 - Crunch,,,,,,,,
,Attack,120,40 - Dragon Claw,,,,,,,,
,Defense,110(+20),44 - Submission,,,,,,,,
,Special Attack,60,50 - Close Combat,,,,,,,,
,Special Defense,90,55 - Superpower,,,,,,,,
,Speed,58(+10),65 - Stealth Rock,,,,,,,,
,"Now learns TM31, TM47",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Golett,,Learnset,,Golurk,,Learnset,,,,
,,,1 - Astonish,,,,1 - Astonish,,,,
,,,1 - Sand Tomb,,,,1 - Sand Tomb,,,,
,,,7 - Curse,,,,7 - Curse,,,,
,,,13 - Shadow Sneak,,,,13 - Shadow Sneak,,,,
,,,18 - Bulldoze,,,,18 - Bulldoze,,,,
,GROUND,GHOST,22 - Helping Hand,,GROUND,GHOST,22 - Helping Hand,,,,
,Ability 1,Iron Fist,30 - Fire Punch,,Ability 1,Iron Fist,30 - Fire Punch,,,,
,Ability 2,No Guard,30 - ThunderPunch,,Ability 2,No Guard,30 - ThunderPunch,,,,
,Base Stats,,30 - Ice Punch,,Base Stats,,30 - Ice Punch,,,,
,HP,79(+20),35 - Hammer Arm,,HP,99(+10),35 - Hammer Arm,,,,
,Attack,94(+20),39 - Dig,,Attack,124,39 - Dig,,,,
,Defense,70(+20),43 - Shadow Punch,,Defense,80,43 - Shadow Punch,,,,
,Special Attack,35,47 - Earthquake,,Special Attack,55,47 - Earthquake,,,,
,Special Defense,70(+20),52 - Cross Chop,,Special Defense,80,52 - Cross Chop,,,,
,Speed,35,58 - Stone Edge,,Speed,75(+20),58 - Stone Edge,,,,
,,,75 - Stealth Rock,,Evolves at level 43.,,75 - Stealth Rock,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Pawniard,,Learnset,,Bisharp,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,6 - Fury Cutter,,,,6 - Fury Cutter,,,,
,,,11 - Pursuit,,,,11 - Pursuit,,,,
,,,16 - Metal Claw,,,,16 - Metal Claw,,,,
,,,21 - Knock Off,,,,21 - Knock Off,,,,
,DARK,STEEL,26 - Scary Face,,DARK,STEEL,26 - Scary Face,,,,
,Ability 1,Defiant,31 - Taunt,,Ability 1,Defiant,31 - Taunt,,,,
,Ability 2,Inner Focus,34 - Torment,,Ability 2,Inner Focus,34 - Torment,,,,
,Base Stats,,40 - Iron Head,,Base Stats,,40 - Iron Head,,,,
,HP,75(+30),44 - Night Slash,,HP,85(+20),44 - Night Slash,,,,
,Attack,95(+10),50 - Faint Attack,,Attack,125,50 - Faint Attack,,,,
,Defense,80(+10),60 - Sucker Punch,,Defense,120(+20),60 - Sucker Punch,,,,
,Special Attack,40,65 - Payback,,Special Attack,60,65 - Payback,,,,
,Special Defense,40,65 - Guillotine,,Special Defense,70,65 - Guillotine,,,,
,Speed,60,,,Speed,80(+10),,,,,
,,,,,Evolves at level 50.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Bouffalant,,Learnset,,,,,,,,
,,,1 - Tackle,,,,,,,,
,,,10 - Bulldoze,,,,,,,,
,,,18 - Screech,,,,,,,,
,,,22 - Headbutt,,,,,,,,
,,,29 - Payback,,,,,,,,
,NORMAL,GROUND,36 - Body Slam,,,,,,,,
,Ability 1,Rock Head,44 - Earthquake,,,,,,,,
,Ability 2,Rock Head,50 - Close Combat,,,,,,,,
,Base Stats,,55 - Double-Edge,,,,,,,,
